city,longitude,latitude,maxtemp_f,humidity_percent,cloudiness_percent,windspeed_mph,country,date
Diffa,12.6113,13.3154,60.24,43.0,0.0,10.02,NE,2022-02-05 22:25:02-05:00
Uglovskoye,80.1942,51.3557,0.88,90.0,5.0,6.98,RU,2022-02-05 22:25:02-05:00
Sulangan,123.7228,11.1373,80.58,73.0,99.0,16.49,PH,2022-02-05 22:25:03-05:00
Ashland,-82.2665,40.8167,15.28,86.0,19.0,6.4,US,2022-02-05 22:20:24-05:00
Oyama,139.8,36.3,47.89,24.0,42.0,10.47,JP,2022-02-05 22:25:03-05:00
Arraial do Cabo,-42.0278,-22.9661,76.41,87.0,69.0,26.08,BR,2022-02-05 22:25:03-05:00
Icod de los Vinos,-16.7119,28.3724,67.44,47.0,3.0,8.77,ES,2022-02-05 22:25:04-05:00
Assiniboia,-105.9845,49.6334,17.42,86.0,99.0,20.71,CA,2022-02-05 22:25:04-05:00
Port Lincoln,135.8667,-34.7333,78.3,48.0,7.0,20.8,AU,2022-02-05 22:15:21-05:00
Tinqueux,3.9833,49.25,43.05,79.0,100.0,19.75,FR,2022-02-05 22:25:04-05:00
Gaoua,-3.2508,10.2992,70.83,17.0,2.0,5.21,BF,2022-02-05 22:25:05-05:00
Buchanan,-10.0467,5.8808,78.75,85.0,25.0,4.54,LR,2022-02-05 22:25:05-05:00
Riyadh,46.7219,24.6877,46.54,39.0,0.0,8.72,SA,2022-02-05 22:14:45-05:00
Lhokseumawe,97.1507,5.1801,82.04,74.0,75.0,5.99,ID,2022-02-05 22:25:05-05:00
Coleraine,-6.6667,55.1333,41.72,77.0,100.0,24.67,GB,2022-02-05 22:21:55-05:00
Bowen,148.2333,-20.0167,84.15,59.0,11.0,16.93,AU,2022-02-05 22:15:24-05:00
Pevek,170.3133,69.7008,-26.82,99.0,29.0,2.35,RU,2022-02-05 22:18:02-05:00
Krasnovishersk,57.082,60.4078,-2.85,99.0,45.0,3.51,RU,2022-02-05 22:26:06-05:00
Jālna,75.8833,19.8333,65.26,27.0,75.0,4.76,IN,2022-02-05 22:26:06-05:00
Lagoa,-27.9833,39.05,58.5,77.0,3.0,15.73,PT,2022-02-05 22:26:07-05:00
Caravelas,-39.2481,-17.7125,75.09,90.0,15.0,4.94,BR,2022-02-05 22:19:26-05:00
Kruisfontein,24.7314,-34.0033,65.88,94.0,24.0,9.55,ZA,2022-02-05 22:26:07-05:00
Pingzhuang,119.2889,42.0372,22.33,40.0,0.0,13.29,CN,2022-02-05 22:26:07-05:00
Jurm,70.8342,36.8648,39.11,81.0,99.0,4.45,AF,2022-02-05 22:26:08-05:00
Vila Velha,-40.2925,-20.3297,76.95,85.0,0.0,3.0,BR,2022-02-05 22:26:08-05:00
Zirándaro de los Chávez,-100.9833,18.45,79.07,43.0,0.0,4.07,MX,2022-02-05 22:21:17-05:00
Plyussa,29.3654,58.4308,24.53,95.0,89.0,5.39,RU,2022-02-05 22:26:08-05:00
Kavieng,150.7967,-2.5744,83.82,73.0,100.0,7.92,PG,2022-02-05 22:23:10-05:00
Smidovich,133.8167,48.6,-4.52,90.0,97.0,3.74,RU,2022-02-05 22:26:09-05:00
Dongli,116.8194,23.5656,60.78,63.0,20.0,6.71,CN,2022-02-05 22:26:09-05:00
Mulchén,-72.2333,-37.7167,63.34,53.0,3.0,6.8,CL,2022-02-05 22:26:09-05:00
Solntsevo,36.7499,51.4185,26.94,96.0,100.0,10.02,RU,2022-02-05 22:26:09-05:00
Iqaluit,-68.5145,63.7506,-33.07,68.0,40.0,3.44,CA,2022-02-05 22:26:10-05:00
Necochea,-58.7368,-38.5473,60.04,71.0,100.0,18.97,AR,2022-02-05 22:26:10-05:00
Puerto Ayora,-90.3518,-0.7393,75.54,92.0,36.0,3.0,EC,2022-02-05 22:22:45-05:00
Cody,-109.0565,44.5263,34.02,58.0,100.0,4.61,US,2022-02-05 22:26:10-05:00
Saint George,-113.5841,37.1041,49.35,29.0,0.0,3.0,US,2022-02-05 22:26:11-05:00
Poum,164.0167,-20.2333,79.54,89.0,100.0,14.05,NC,2022-02-05 22:21:19-05:00
Arlit,7.3853,18.7369,59.07,18.0,0.0,9.8,NE,2022-02-05 22:26:11-05:00
Bathsheba,-59.5167,13.2167,77.61,73.0,40.0,11.5,BB,2022-02-05 22:26:11-05:00
Kikwit,18.8162,-5.041,68.56,96.0,78.0,0.83,CD,2022-02-05 22:26:12-05:00
Krasnozavodsk,38.2167,56.45,3.27,99.0,100.0,8.01,RU,2022-02-05 22:26:12-05:00
Onega,38.1404,63.9061,7.74,88.0,67.0,13.33,RU,2022-02-05 22:26:12-05:00
Bairiki Village,172.9752,1.3292,87.8,70.0,20.0,11.5,KI,2022-02-05 22:26:13-05:00
Praia da Vitória,-27.0667,38.7333,57.45,94.0,75.0,16.62,PT,2022-02-05 22:26:13-05:00
Clarence Town,151.7833,-32.5833,76.6,55.0,54.0,12.1,AU,2022-02-05 22:26:13-05:00
